posted,neighborhood,post title,number bedrooms,sqft,price
2020-12-11 09:08:00,Soma,"10 WEEKS FREE & $500 CONCESSION!! Built in closet, Walk-in Shower!!",NA,NA,"$1,799"
2020-12-11 09:07:00,Inner Sunset,Remodeled 1BR apt with GG park Views,1,580,"$2,500"
2020-12-11 09:06:00,Lower Pac Hts,"Corner Condo w/ City View, Hardwood, Gas Fireplace, 2 Car Parking",2,1186,"$4,400"
2020-12-11 09:06:00,Noe Valley,TOP FLOOR! 1 BEDROOM NOE VALLEY CLOSE TO MUNI AND FREEWAY!,1,600,"$2,200"
2020-12-11 09:06:00,Bayview,"Near UCSF/Mission Bay, Huge deck, Open Kit/LR, 2 Bath, Video tour",3,1200,"$3,200"
2020-12-11 09:06:00,Pacific Heights,Luxury Condo Lease at Jackson Tower,1,1040,"$3,695"
2020-12-11 09:06:00,Dogptach,"3 Story, Light Filled Loft",2,1200,"$4,250"
2020-12-11 09:05:00,Soma,St. Regis Luxury Condo with Private Terrace,2,1792,"$9,995"
2020-12-11 09:05:00,Castro,Heart of Castro: 2nd floor Edwardian flat with garage & garden,2,1250,"$4,975"
2020-12-11 09:05:00,Richmond,Newly Renovated 4 bedrooms / 4 baths Flat,4,NA,"$5,500"
2020-12-11 09:05:00,Sunset,Nice In-Law Studio!,NA,NA,"$1,250"
2020-12-11 09:05:00,Richmond,Newly Renovated 4 rooms / 2 baths,4,NA,"$3,800"
2020-12-11 09:04:00,Noe Valley,2 Bedrooms Noe Valley close to Muni and Freeways! TOP FLOOR!!,2,900,"$2,950"
2020-12-11 09:03:00,Russian Hill,"UPDATED, HUGE 2 BED, 1 BATH in RUSSIAN HILL PLUS 1 TIME MOVE IN BONUS!",2,NA,"$2,795"
2020-12-11 09:03:00,Haight Ashbury,"1 Bd, 1 Bath, Great View, Quite",1,NA,"$2,250"
2020-12-11 09:03:00,Soma,"2 Bed, 2 Bath @ 923 Folsom | Come Tour Today and Get 8 Weeks Free!",2,884,"$3,143"
2020-12-11 09:02:00,Soma,Stunning Live/Work Loft in a Converted Historic Building!  ~ J.Wavro,1,NA,"$3,100"
